MasterYear,FormNumber,District,OperatorNumber,DateofLoss,Type_Company_Cd,County,LeaseNumber,Gasident,CommNbr,TypeLiquid,GrossLoss,Recovered,NetLoss,Facility,CauseofLoss,Remedy,Corrected_Report,Water,WaterName,Location,Remarks,LeaseName,FieldNumber,Into_Water,Unique_ID,GrossLossGal
2012,742,06,SUNOCO PIPELINE L.P.,2012-10-11,Other,GREGG,0,0,0,Crude,50,5,45,Pipe Line,Equipment Failure,Other,,,,N 32.45800 W 94.86781,VACUUMED FREE FLUID AND REMEDIATED AREA.,WEST FLOWERS UNIT,NO FIELD NAME,False,60435,2100
2012,972,7C,"PIONEER NATURAL RES. USA, INC.",2012-10-11,Producer,UPTON,16234,0,0,Crude,35,35,0,Tank Battery,Equipment Failure,Other,,,,31.43700 & -101.95700,SOIL WAS SUCCESSFULLY REMEDIATED.,UNRUH,SPRABERRY (TREND AREA),False,60664,1470
2012,681,08,"SANDRIDGE EXPL. AND PROD., LLC",2012-10-10,Producer,ECTOR,37943,0,0,Crude,30,26,4,Pump Station or Terminal,Equipment Failure,Other,,,,"SEC.37, BLK. 45, SURVEY T&P",SOIL REMEDIATION PLAN IN PROGRESS.,GOLDSMITH ADOBE UNIT,GOLDSMITH (CLEAR FORK),False,60374,1260
2012,692,08,OXY USA INC.,2012-10-10,Producer,ANDREWS,39480,0,0,Crude,50,38,12,Tank Battery,Company Human Error,Other,,,,"SEC.34, BLK. 4",REMEDIATION PLAN IN PROGRESS,UNIVERSITYCARRIE,SAINT WILMA (STRAWN),False,60385,2100
2012,683,08,COG OPERATING LLC,2012-10-09,Producer,ANDREWS,34411,0,0,Crude,150,130,20,Tank Battery,Equipment Failure,Other,,,,"SEC.25, BLK. 13, UL",VACUUMED FREE FLUID AND REMEDIATION PLAN IN PROGRESS.,SHAFTER LAKE CLEARFORK UNIT,SHAFTER LAKE (CLEAR FORK),False,60376,6300
2012,702,02,"FAULCONER, VERNON E., INC.",2012-10-09,Producer,LIVE OAK,8882,0,0,Crude,100,0,100,Tank Battery,Theft,Other,,,,"A-4, JUAN CARROLL SURVEY",THEFT. REPORTED TO LIVE OAK SHERIFFS DEPARTMENT.,RICHTER,"GEORGE WEST, E. (QUEEN CITY -B-)",False,60395,4200
2012,678,01,"EOG RESOURCES, INC.",2012-10-09,Producer,GONZALES,15549,0,0,Crude,30,15,15,Tank Battery,Human Error - Other,Other,,,,N29.32405 W-97.32283,FLUID REMAINED IN CONTAINMENT AND WAS PUT BACK INTO SYSTEM,MEYER UNIT,EAGLEVILLE (EAGLE FORD-1),False,60371,1260
2012,706,08,ANADARKO PETROLEUM CORPORATION,2012-10-09,Producer,WARD,40340,0,0,Crude,33,30,3,Tank Battery,Equipment Failure,Other,,,,N 31.480784 LAT. W -103.360337 LONG.,VACUUMED FREE FLUID AND SOIL REMEDIATION PLAN IN PROGRESS.,MONROE 34-172,PHANTOM (WOLFCAMP),False,60399,1386
2012,680,08,"SANDRIDGE EXPL. AND PROD., LLC",2012-10-09,Producer,ECTOR,40581,0,0,Crude,69,60,9,Flow Line,Equipment Failure,Other,,,,"SEC.11, BLOCK 45 T2S, SURVEY T&P RR CO",RECOVERED 60BBLS. SOIL REMEDIATION PLAN IN PROGRESS.,CVX 6B,GOLDSMITH (CLEAR FORK),False,60373,2898
2012,987,08,ENDEAVOR ENERGY RESOURCES L.P.,2012-10-09,Producer,MARTIN,39966,0,0,Crude,75,0,75,Tank Battery,Equipment Failure,Other,,,,RR829 & CR 4100 GO E 1 MI. GO N .4 MI TO LOCATION,SOIL REMEDIATION IN PROGRESS,"JOHNSON ""22-23""",SPRABERRY (TREND AREA),False,60679,3150
2012,734,7C,LEGACY RESERVES OPERATING LP,2012-10-09,Producer,CROCKETT,462,0,0,Crude,6,0,6,Tank Battery,Corrosion - Rust,Other,,,,"SEC.8, BLK. 50, UL",SOIL WILL BE EXCAVATED AND BIO-REMEDIATED ON SITE.,UNIVERSITY -P-,FARMER (SAN ANDRES),False,60427,252
2012,780,10,PHILLIPS 66 PIPELINE LLC,2012-10-09,Transporter,HUTCHINSON,0,0,0,Crude,24,23,1,Pipe Line,Equipment Failure,Other,,,,"SPU 119, CRUDE TERMINAL ROAD. INSIDE FENCED TERMINAL",SOIL REMOVED AND REMEDIATED.,SEELIGSON UNIT,NO FIELD NAME,False,60473,1008
2012,695,7C,COG OPERATING LLC,2012-10-08,Producer,UPTON,16025,0,0,Crude,500,260,240,Tank Battery,Equipment Failure,Other,,,,"SEC.48, BLK. C, CCSD & RGNG RR CO SURVEY",VACUUMED FREE FLUID AND SOIL REMEDIATION PLAN IN PROGRESS.,AMACKER48,SPRABERRY (TREND AREA),False,60388,21000
2012,707,08,ANADARKO PETROLEUM CORPORATION,2012-10-08,Producer,LOVING,0,0,3579,Crude,32,30,2,Tank Battery,Equipment Failure,Other,,,,N 31.706 LAT. W-103.479 LONG.,VACUUMED FREE FLUID AND REMEDIATION PLAN IN PROGRESS.,MONROE 34-172,NO FIELD NAME,False,60400,1344
2012,846,08,OCCIDENTAL PERMIAN LTD.,2012-10-08,Producer,ECTOR,20164,0,0,Crude,15,5,10,Flow Line,Equipment Failure,Other,,,,"SEC.34, BLK.43, T-1-N, T&P RR CO SURVEY",SOIL REMEDIATION PLAN IN PROGRESS.,NORTH COWDEN UNIT,"COWDEN, NORTH",False,60539,630
2012,955,7C,"PIONEER NATURAL RES. USA, INC.",2012-10-08,Producer,REAGAN,16589,0,0,Crude,125,80,45,Tank Battery,Equipment Failure,Other,,,,N31.277767 W-101.747317,VACUUMED FREE FLUID AND SOIL REMEDIATED.,"UNIVERSITY ""2-20""",SPRABERRY (TREND AREA),False,60647,5250
2012,1105,03,"DENBURY ONSHORE, LLC",2012-10-08,Producer,FORT BEND,4154,0,0,Crude,40,39,1,Tank Battery,Equipment Failure,Other,,,,JHP DAVIS SYSTEM 2. ROBERY PEEBLES A-67,VACUUMED FREE FLUID AND REMEDIATED AREA.,"DAVIS, J.H.P.","THOMPSON, SOUTH",False,60793,1680
2012,1023,7C,TALLGRASS PRODUCTION COMPANY LLC,2012-10-07,Producer,RUNNELS,14471,0,0,Crude,100,0,100,Tank Battery,Human Error - Other,Other,,,,BM WALKER #401 A-506,TRUCK RAN OFF RD.INTO TANK. AREA WAS REMEDIATED.,DAVIDSON,"DORMAN, WEST (GOEN)",False,60713,4200
2012,660,8A,COG OPERATING LLC,2012-10-07,Producer,DAWSON,60521,0,0,Crude,40,30,10,Flow Line,Corrosion - Rust,Other,,,,"SEC.30, BLK 34, T&P RR CO.",REMEDIATION PLAN IN PROGRESS.,ACKERLY /DEAN/ FIELD UNIT,ACKERLY (DEAN SAND),False,60354,1680
2012,1225,08,"CROWNQUEST OPERATING, LLC",2012-10-06,Producer,MARTIN,43386,0,0,Crude,22,0,22,Separator-Gun Barrel-Treater,Company Human Error,Other,,,,"2173' FNL & 467'FEL, SEC. 37, BLK. 37, T&P RR CO SURVEY",REMEDIATION PLAN IN PROGRESS,TAS 37,SPRABERRY (TREND AREA),False,60910,924
2012,1126,03,"DENALI OIL & GAS MANAGEMENT, LLC",2012-10-06,Producer,FAYETTE,26051,0,0,Crude,100,96,4,Tank Battery,Act of God,Other,,,,"BETTINGER, FA SURVEY ABS.-130","VACUUMED FREE FLUID AND REMEDIATED AREA,",CHESTER CHERRY OIL UNIT,GIDDINGS (AUSTIN CHALK-3),False,60813,4200
2012,665,04,"COLUMBUS ENERGY, LLC",2012-10-06,Producer,WEBB,0,0,5122,Gas Well Liquid,115,0,115,Tank Battery,Theft,Other,,,,"BASILIO BENAVIDES, POR 54 A-20",REPORTED TO AUTHORITIES.,DESTINO 565,NO FIELD NAME,False,60359,4830
2012,718,01,HARVEST PIPELINE COMPANY,2012-10-04,Transporter,FRIO,0,0,0,Crude,13,10,3,Pipe Line,Equipment Failure,Other,,,,"28 DEG. 41'2.15""N 99 DEG. 5'42.10""W",VACUUM FREE FLUID AND REMEDIATION PLAN COMPLETE.,DUVAL RANCH -59-,NO FIELD NAME,False,60411,546
2012,772,08,PLAINS PIPELINE L.P.,2012-10-04,Transporter,MARTIN,0,0,0,Crude,875,785,90,Pipe Line,Equipment Failure,Other,,,,GPS: N 32.2808350 W -102.105250,SOIL WILL BE EXCAVATED AND REMEDIATED.,UNIVERSITY CONSOLIDATED XII,NO FIELD NAME,False,60465,36750
2012,1106,03,"DENBURY ONSHORE, LLC",2012-10-04,Producer,FORT BEND,4154,0,0,Crude,40,39,1,Tank Battery,Equipment Failure,Other,,,,"29.4395N, 95.5742W (JHP DAVIS SYSTEM 1)",VACUUMED FREE FLUID AND REMEDIATED AREA.,"DAVIS, J.H.P.","THOMPSON, SOUTH",False,60794,1680
2012,1005,8A,OCCIDENTAL PERMIAN LTD.,2012-10-03,Producer,YOAKUM,62865,0,0,Crude,46,30,16,Tank Battery,Equipment Failure,Other,,,,SOUTH WASSON CLEARFORK SATELLITE C,VACUUMED FREE FLUID AND SOIL REMEDIATION PLAN IN PROGRESS,WASSON SOUTH CLEARFORK UNIT,WASSON 72,False,60696,1932
2012,693,7C,"THOMPSON, J. CLEO",2012-10-03,Producer,UPTON,11231,0,0,Crude,158,41,117,Tank Battery,Equipment Failure,Other,,,,SEC.124 BLK. D SUR CC50,SOIL REMEDIATION PLAN IN PROGRESS.,EDDLEMAN,WILLRODE (WOLFCAMP),False,60386,6636
2012,994,8A,OCCIDENTAL PERMIAN LTD.,2012-10-03,Producer,YOAKUM,62865,0,0,Crude,46,30,16,Tank Battery,Equipment Failure,Other,,,,SOUTH WASSON CLEARFORK SATELLITE C,VACUUMED FREE FLUID WILL REMEDIATE AREA,WASSON SOUTH CLEARFORK UNIT,WASSON 72,False,60685,1932
2012,938,04,"TEPEE PETROLEUM CO., INC.",2012-10-03,Producer,DUVAL,0,203077,0,Gas Well Liquid,182,0,182,Tank Battery,Theft,Other,,,,"C. CADENA SURVEY A-1529. 8 MILES W OF SAN DIEGO, TX",CONTACTED THE SHERIFF'S DEPARTMENT. REPLACED LOCKS.,CANALES,BLANCHARD (QUEEN CITY),False,60630,7644
2012,677,01,"CHESAPEAKE OPERATING, INC.",2012-10-03,Transporter,DIMMIT,15317,0,0,Crude,263,1,262,Valve,Company Human Error,Other,,,,"ABSTRACT 419, SECTION 28",VACUUMED FREE FLUID AND REMEDIATED AREA.,FAITH-SAN PEDRO,BRISCOE RANCH (EAGLEFORD),False,60370,11046
2012,874,08,"PIONEER NATURAL RES. USA, INC.",2012-10-03,Producer,GLASSCOCK,40978,0,0,Crude,15,10,5,Tank Battery,Equipment Failure,Other,,,,N31 46.307' W 101 35.495',VACUUMED FREE FLUID AND REMEDIATED AREA.,"MCDANIEL ""34B""",SPRABERRY (TREND AREA),False,60567,630
2012,798,08,"MLC OPERATING, LP",2012-10-03,Producer,PECOS,39612,0,0,Crude,160,0,160,Tank Battery,Equipment Failure,Other,,,,"SEC.63, BLK C4, GC&SF, A-2772",VACUUM FREE FLUID AND REMEDIATE AREA,SHERBINO HEIRS 0263 UNIT,PALOMINO (ELLENBURGER),False,60491,6720
2012,963,8A,APACHE CORPORATION,2012-10-03,Producer,YOAKUM,19212,0,0,Crude,6,5,1,Tank Battery,Corrosion - Rust,Other,,,,"LAT. 33.029773, LONG. -102.88399",VACUUMED FREE FLUID AND SOIL REMEDIATION PLAN IN PROGRESS,ROBERTS UNIT,WASSON,False,60655,252
2012,709,06,GMX RESOURCES INC.,2012-10-02,Producer,HARRISON,14790,0,0,Crude,5,3,2,Tank Battery,Corrosion - Rust,Other,,,,JOHN FINDLEY A-1024,VACUUM FREE FLUID.AREA REMEDIATED.,BETHANY TRAVIS PEAK -A- SD. UNIT,BETHANY (TRAVIS PEAK CONS.),False,60402,210
2012,941,7C,APACHE CORPORATION,2012-10-02,Producer,UPTON,16755,0,0,Crude,20,19,1,Tank Battery,Equipment Failure,Other,,,,WELL NO. 31.530545 -102.041485,VACUUMED FREE FLUID AND SOIL REMEDIATION PLAN IN PROGRESS,NEAL 39,SPRABERRY (TREND AREA),False,60633,840
2012,731,01,FOREST OIL CORPORATION,2012-10-02,Producer,GONZALES,16062,0,0,Crude,10,0,10,Tank Battery,Company Human Error,Other,,,,"SELLARS,R ABSTRACT 419",SOIL REMEDIATION COMPLETE.,MAHAN SOUTH,EAGLEVILLE (EAGLE FORD-1),False,60424,420
2012,729,10,"SAMSON LONE STAR, LLC",2012-10-02,Producer,WHEELER,0,119666,0,Products,12,10,2,Tank Battery,Company Human Error,Other,,,,"SEC.57, BLK A-7 H&GN SURVEY",VACUUMED FREE FLUID AND REMEDIATED AREA.,IVESTOR,IVESTER (ATOKA),False,60422,504
2012,1131,06,"NFR ENERGY, LLC",2012-10-01,Producer,HARRISON,0,268392,0,Products,31000,0,31000,Tank Battery,Other,Other,,Creek,UNNAMEDCREEK,"BROMLEY, W A-73",DRILLING MUD BREACHED EARTHEN RESERVE PIT.AREA REMEDIATED.,HARDY HEIRS-MODISETTE (SA),MINDEN (COTTON VALLEY CONS.),False,60818,1302000
